,gene,Symbol,description
398,ENSMUSG00000020650,Bcap29,B cell receptor associated protein 29
399,ENSMUSG00000004264,Phb2,prohibitin 2
400,ENSMUSG00000030268,Bcat1,"branched chain aminotransferase 1, cytosolic"
401,ENSMUSG00000030826,Bcat2,"branched chain aminotransferase 2, mitochondrial"
402,ENSMUSG00000027792,Bche,butyrylcholinesterase
403,ENSMUSG00000060376,Bckdha,"branched chain ketoacid dehydrogenase E1, alpha polypeptide"
404,ENSMUSG00000032263,Bckdhb,"branched chain ketoacid dehydrogenase E1, beta polypeptide"
405,ENSMUSG00000030802,Bckdk,branched chain ketoacid dehydrogenase kinase
406,ENSMUSG00000028191,Bcl10,B cell leukemia/lymphoma 10
407,ENSMUSG00000057329,Bcl2,B cell leukemia/lymphoma 2
408,ENSMUSG00000102037,Bcl2a1a,B cell leukemia/lymphoma 2 related protein A1a
409,ENSMUSG00000089929,Bcl2a1b,B cell leukemia/lymphoma 2 related protein A1b
410,ENSMUSG00000053820,Bcl2a1c,B cell leukemia/lymphoma 2 related protein A1c
411,ENSMUSG00000099974,Bcl2a1d,B cell leukemia/lymphoma 2 related protein A1d
412,ENSMUSG00000007659,Bcl2l1,BCL2-like 1
413,ENSMUSG00000032191,Bcl2l10,Bcl2-like 10
414,ENSMUSG00000089682,Bcl2l2,BCL2-like 2
415,ENSMUSG00000053175,Bcl3,B cell leukemia/lymphoma 3
416,ENSMUSG00000022508,Bcl6,B cell leukemia/lymphoma 6
417,ENSMUSG00000029681,Bcl7b,B cell CLL/lymphoma 7B
418,ENSMUSG00000030814,Bcl7c,B cell CLL/lymphoma 7C
419,ENSMUSG00000058831,Opn1sw,"opsin 1 (cone pigments), short-wave-sensitive (color blindness, tritan)"
421,ENSMUSG00000041347,Bdkrb1,"bradykinin receptor, beta 1"
422,ENSMUSG00000021070,Bdkrb2,"bradykinin receptor, beta 2"
423,ENSMUSG00000048482,Bdnf,brain derived neurotrophic factor
426,ENSMUSG00000032757,Bet1,Bet1 golgi vesicular membrane trafficking protein
427,ENSMUSG00000042750,Bex2,brain expressed X-linked 2
428,ENSMUSG00000046432,Bex3,brain expressed X-linked 3
429,ENSMUSG00000027420,Bfsp1,"beaded filament structural protein 1, in lens-CP94"
430,ENSMUSG00000045594,Glb1,"galactosidase, beta 1"
431,ENSMUSG00000074489,Bglap3,bone gamma-carboxyglutamate protein 3
432,ENSMUSG00000074483,Bglap,bone gamma carboxyglutamate protein
433,ENSMUSG00000074486,Bglap2,bone gamma-carboxyglutamate protein 2
434,ENSMUSG00000031375,Bgn,biglycan
436,ENSMUSG00000074768,Bhmt,betaine-homocysteine methyltransferase
437,ENSMUSG00000003452,Bicd1,BICD cargo adaptor 1
438,ENSMUSG00000004446,Bid,BH3 interacting domain death agonist
439,ENSMUSG00000046607,Hrk,"harakiri, BCL2 interacting protein (contains only BH3 domain)"
440,ENSMUSG00000016758,Bik,BCL2-interacting killer
441,ENSMUSG00000027381,Bcl2l11,BCL2-like 11 (apoptosis facilitator)
443,ENSMUSG00000019874,Fabp7,"fatty acid binding protein 7, brain"
444,ENSMUSG00000038151,Prdm1,"PR domain containing 1, with ZNF domain"
445,ENSMUSG00000014453,Blk,B lymphoid kinase
446,ENSMUSG00000030528,Blm,"Bloom syndrome, RecQ like helicase"
447,ENSMUSG00000047880,Cxcr5,chemokine (C-X-C motif) receptor 5
448,ENSMUSG00000026739,Bmi1,Bmi1 polycomb ring finger oncogene
449,ENSMUSG00000022098,Bmp1,bone morphogenetic protein 1
450,ENSMUSG00000030046,Bmp10,bone morphogenetic protein 10
451,ENSMUSG00000023279,Bmp15,bone morphogenetic protein 15
452,ENSMUSG00000027358,Bmp2,bone morphogenetic protein 2
453,ENSMUSG00000021835,Bmp4,bone morphogenetic protein 4
454,ENSMUSG00000032179,Bmp5,bone morphogenetic protein 5
455,ENSMUSG00000039004,Bmp6,bone morphogenetic protein 6
456,ENSMUSG00000008999,Bmp7,bone morphogenetic protein 7
457,ENSMUSG00000032726,Bmp8a,bone morphogenetic protein 8a
458,ENSMUSG00000002384,Bmp8b,bone morphogenetic protein 8b
459,ENSMUSG00000072625,Gdf2,growth differentiation factor 2
460,ENSMUSG00000021796,Bmpr1a,"bone morphogenetic protein receptor, type 1A"
461,ENSMUSG00000052430,Bmpr1b,"bone morphogenetic protein receptor, type 1B"
462,ENSMUSG00000067336,Bmpr2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)"
463,ENSMUSG00000031377,Bmx,BMX non-receptor tyrosine kinase
464,ENSMUSG00000025105,Bnc1,basonuclin 1
465,ENSMUSG00000011958,Bnip2,BCL2/adenovirus E1B interacting protein 2
466,ENSMUSG00000078566,Bnip3,BCL2/adenovirus E1B interacting protein 3
467,ENSMUSG00000022051,Bnip3l,BCL2/adenovirus E1B interacting protein 3-like
468,ENSMUSG00000055027,Smyd1,SET and MYND domain containing 1
469,ENSMUSG00000022557,Bop1,block of proliferation 1
470,ENSMUSG00000029082,Bst1,bone marrow stromal cell antigen 1
471,ENSMUSG00000038871,Bpgm,"2,3-bisphosphoglycerate mutase"
472,ENSMUSG00000017146,Brca1,"breast cancer 1, early onset"
473,ENSMUSG00000041147,Brca2,"breast cancer 2, early onset"
474,ENSMUSG00000021127,Zfp36l1,"zinc finger protein 36, C3H type-like 1"
475,ENSMUSG00000045817,Zfp36l2,"zinc finger protein 36, C3H type-like 2"
476,ENSMUSG00000031130,Brs3,bombesin-like receptor 3
477,ENSMUSG00000024073,Birc6,baculoviral IAP repeat-containing 6
478,ENSMUSG00000031327,Chic1,cysteine-rich hydrophobic domain 1
479,ENSMUSG00000023175,Bsg,basigin
480,ENSMUSG00000032589,Bsn,bassoon
482,ENSMUSG00000082361,Btc,"betacellulin, epidermal growth factor family member"
483,ENSMUSG00000005148,Klf5,Kruppel-like factor 5
484,ENSMUSG00000036478,Btg1,BTG anti-proliferation factor 1
485,ENSMUSG00000020423,Btg2,BTG anti-proliferation factor 2
486,ENSMUSG00000022863,Btg3,BTG anti-proliferation factor 3
487,ENSMUSG00000031264,Btk,Bruton agammaglobulinemia tyrosine kinase
488,ENSMUSG00000000706,Btn1a1,"butyrophilin, subfamily 1, member A1"
489,ENSMUSG00000025217,Btrc,beta-transducin repeat containing protein
490,ENSMUSG00000027379,Bub1,"BUB1, mitotic checkpoint serine/threonine kinase"
491,ENSMUSG00000040084,Bub1b,"BUB1B, mitotic checkpoint serine/threonine kinase"
492,ENSMUSG00000066979,Bub3,BUB3 mitotic checkpoint protein
493,ENSMUSG00000051154,Commd3,COMM domain containing 3
495,ENSMUSG00000041736,Tspo,translocator protein
496,ENSMUSG00000023224,Serping1,"serine (or cysteine) peptidase inhibitor, clade G, member 1"
497,ENSMUSG00000036887,C1qa,"complement component 1, q subcomponent, alpha polypeptide"
498,ENSMUSG00000036905,C1qb,"complement component 1, q subcomponent, beta polypeptide"
499,ENSMUSG00000018446,C1qbp,"complement component 1, q subcomponent binding protein"
500,ENSMUSG00000036896,C1qc,"complement component 1, q subcomponent, C chain"
501,ENSMUSG00000024371,C2,complement component 2 (within H-2S)
502,ENSMUSG00000022504,Ciita,class II transactivator
503,ENSMUSG00000024164,C3,complement component 3
504,ENSMUSG00000040552,C3ar1,complement component 3a receptor 1
505,ENSMUSG00000073418,C4b,complement component 4B (Chido blood group)
506,ENSMUSG00000026405,C4bp,complement component 4 binding protein
508,ENSMUSG00000049130,C5ar1,complement component 5a receptor 1
509,ENSMUSG00000022181,C6,complement component 6
510,ENSMUSG00000022149,C9,complement component 9
512,ENSMUSG00000032115,Hyou1,hypoxia up-regulated 1
513,ENSMUSG00000036707,Cab39,calcium binding protein 39
515,ENSMUSG00000034656,Cacna1a,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit"
516,ENSMUSG00000004113,Cacna1b,"calcium channel, voltage-dependent, N type, alpha 1B subunit"
517,ENSMUSG00000051331,Cacna1c,"calcium channel, voltage-dependent, L type, alpha 1C subunit"
518,ENSMUSG00000015968,Cacna1d,"calcium channel, voltage-dependent, L type, alpha 1D subunit"
519,ENSMUSG00000004110,Cacna1e,"calcium channel, voltage-dependent, R type, alpha 1E subunit"
520,ENSMUSG00000020866,Cacna1g,"calcium channel, voltage-dependent, T type, alpha 1G subunit"
521,ENSMUSG00000026407,Cacna1s,"calcium channel, voltage-dependent, L type, alpha 1S subunit"
522,ENSMUSG00000040118,Cacna2d1,"calcium channel, voltage-dependent, alpha2/delta subunit 1"
523,ENSMUSG00000021991,Cacna2d3,"calcium channel, voltage-dependent, alpha2/delta subunit 3"
524,ENSMUSG00000020882,Cacnb1,"calcium channel, voltage-dependent, beta 1 subunit"
525,ENSMUSG00000057914,Cacnb2,"calcium channel, voltage-dependent, beta 2 subunit"
526,ENSMUSG00000003352,Cacnb3,"calcium channel, voltage-dependent, beta 3 subunit"
527,ENSMUSG00000017412,Cacnb4,"calcium channel, voltage-dependent, beta 4 subunit"
528,ENSMUSG00000020722,Cacng1,"calcium channel, voltage-dependent, gamma subunit 1"
529,ENSMUSG00000019146,Cacng2,"calcium channel, voltage-dependent, gamma subunit 2"
530,ENSMUSG00000014226,Cacybp,calcyclin binding protein
531,ENSMUSG00000025823,Pdia4,protein disulfide isomerase associated 4
532,ENSMUSG00000003534,Ddr1,"discoidin domain receptor family, member 1"
533,ENSMUSG00000032231,Anxa2,annexin A2
534,ENSMUSG00000028222,Calb1,calbindin 1
535,ENSMUSG00000003657,Calb2,calbindin 2
536,ENSMUSG00000040808,S100g,S100 calcium binding protein G
537,ENSMUSG00000030669,Calca,"calcitonin/calcitonin-related polypeptide, alpha"
538,ENSMUSG00000023964,Calcr,calcitonin receptor
539,ENSMUSG00000001175,Calm1,calmodulin 1
540,ENSMUSG00000036438,Calm2,calmodulin 2
541,ENSMUSG00000019370,Calm3,calmodulin 3
542,ENSMUSG00000033952,Aspm,abnormal spindle microtubule assembly
543,ENSMUSG00000003814,Calr,calreticulin
544,ENSMUSG00000041261,Car8,carbonic anhydrase 8
545,ENSMUSG00000029767,Calu,calumenin
546,ENSMUSG00000024617,Camk2a,calcium/calmodulin-dependent protein kinase II alpha
547,ENSMUSG00000057897,Camk2b,"calcium/calmodulin-dependent protein kinase II, beta"
548,ENSMUSG00000021820,Camk2g,calcium/calmodulin-dependent protein kinase II gamma
549,ENSMUSG00000038128,Camk4,calcium/calmodulin-dependent protein kinase IV
550,ENSMUSG00000021501,Caml,calcium modulating ligand
552,ENSMUSG00000020368,Canx,calnexin
553,ENSMUSG00000028656,Cap1,"CAP, adenylate cyclase-associated protein 1 (yeast)"
554,ENSMUSG00000056737,Capg,"capping protein (actin filament), gelsolin-like"
555,ENSMUSG00000024942,Capn1,calpain 1
556,ENSMUSG00000026509,Capn2,calpain 2
557,ENSMUSG00000079110,Capn3,calpain 3
558,ENSMUSG00000001794,Capns1,"calpain, small subunit 1"
559,ENSMUSG00000035547,Capn5,calpain 5
560,ENSMUSG00000067276,Capn6,calpain 6
561,ENSMUSG00000021893,Capn7,calpain 7
562,ENSMUSG00000070372,Capza1,"capping protein (actin filament) muscle Z-line, alpha 1"
563,ENSMUSG00000015733,Capza2,"capping protein (actin filament) muscle Z-line, alpha 2"
564,ENSMUSG00000041791,Capza3,"capping protein (actin filament) muscle Z-line, alpha 3"
565,ENSMUSG00000028745,Capzb,"capping protein (actin filament) muscle Z-line, beta"
566,ENSMUSG00000027556,Car1,carbonic anhydrase 1
567,ENSMUSG00000003273,Car11,carbonic anhydrase 11
568,ENSMUSG00000027562,Car2,carbonic anhydrase 2
569,ENSMUSG00000027559,Car3,carbonic anhydrase 3
570,ENSMUSG00000000805,Car4,carbonic anhydrase 4
571,ENSMUSG00000025317,Car5a,"carbonic anhydrase 5a, mitochondrial"
572,ENSMUSG00000028972,Car6,carbonic anhydrase 6
573,ENSMUSG00000031883,Car7,carbonic anhydrase 7
574,ENSMUSG00000005677,Nr1i3,"nuclear receptor subfamily 1, group I, member 3"
575,ENSMUSG00000027187,Cat,catalase
576,ENSMUSG00000031012,Cask,calcium/calmodulin-dependent serine protein kinase (MAGUK family)
577,ENSMUSG00000025888,Casp1,caspase 1
578,ENSMUSG00000033538,Casp4,"caspase 4, apoptosis-related cysteine peptidase"
579,ENSMUSG00000025887,Casp12,caspase 12
580,ENSMUSG00000005355,Casp14,caspase 14
581,ENSMUSG00000029863,Casp2,caspase 2
582,ENSMUSG00000031628,Casp3,caspase 3
583,ENSMUSG00000027997,Casp6,caspase 6
584,ENSMUSG00000025076,Casp7,caspase 7
585,ENSMUSG00000026029,Casp8,caspase 8
586,ENSMUSG00000028914,Casp9,caspase 9
587,ENSMUSG00000007122,Casq1,calsequestrin 1
588,ENSMUSG00000027861,Casq2,calsequestrin 2
589,ENSMUSG00000051980,Casr,calcium-sensing receptor
590,ENSMUSG00000021585,Cast,calpastatin
591,ENSMUSG00000037815,Ctnna1,"catenin (cadherin associated protein), alpha 1"
592,ENSMUSG00000063063,Ctnna2,"catenin (cadherin associated protein), alpha 2"
593,ENSMUSG00000006932,Ctnnb1,"catenin (cadherin associated protein), beta 1"
594,ENSMUSG00000034101,Ctnnd1,"catenin (cadherin associated protein), delta 1"
595,ENSMUSG00000007655,Cav1,"caveolin 1, caveolae protein"
596,ENSMUSG00000000058,Cav2,caveolin 2
597,ENSMUSG00000062694,Cav3,caveolin 3
598,ENSMUSG00000039153,Runx2,runt related transcription factor 2
599,ENSMUSG00000022952,Runx1,runt related transcription factor 1
600,ENSMUSG00000006586,Runx1t1,RUNX1 translocation partner 1
601,ENSMUSG00000038533,Cbfa2t2,CBFA2/RUNX1 translocation partner 2
603,ENSMUSG00000006362,Cbfa2t3,CBFA2/RUNX1 translocation partner 3
604,ENSMUSG00000070691,Runx3,runt related transcription factor 3
605,ENSMUSG00000031885,Cbfb,core binding factor beta
606,ENSMUSG00000060807,Serpina6,"serine (or cysteine) peptidase inhibitor, clade A, member 6"
607,ENSMUSG00000034342,Cbl,Casitas B-lineage lymphoma
608,ENSMUSG00000031654,Cbln1,cerebellin 1 precursor protein
609,ENSMUSG00000024647,Cbln2,cerebellin 2 precursor protein
610,ENSMUSG00000070436,Serpinh1,"serine (or cysteine) peptidase inhibitor, clade H, member 1"
611,ENSMUSG00000051483,Cbr1,carbonyl reductase 1
612,ENSMUSG00000025150,Cbr2,carbonyl reductase 2
613,ENSMUSG00000024039,Cbs,cystathionine beta-synthase
614,ENSMUSG00000018666,Cbx1,chromobox 1
615,ENSMUSG00000025577,Cbx2,chromobox 2
616,ENSMUSG00000029836,Cbx3,chromobox 3
617,ENSMUSG00000039989,Cbx4,chromobox 4
618,ENSMUSG00000009575,Cbx5,chromobox 5
620,ENSMUSG00000025907,Rb1cc1,RB1-inducible coiled-coil 1
621,ENSMUSG00000032532,Cck,cholecystokinin
622,ENSMUSG00000029193,Cckar,cholecystokinin A receptor
623,ENSMUSG00000030898,Cckbr,cholecystokinin B receptor
624,ENSMUSG00000027793,Ccna1,cyclin A1
625,ENSMUSG00000027715,Ccna2,cyclin A2
626,ENSMUSG00000032218,Ccnb2,cyclin B2
627,ENSMUSG00000070348,Ccnd1,cyclin D1
628,ENSMUSG00000000184,Ccnd2,cyclin D2
629,ENSMUSG00000034165,Ccnd3,cyclin D3
630,ENSMUSG00000002068,Ccne1,cyclin E1
631,ENSMUSG00000028212,Ccne2,cyclin E2
632,ENSMUSG00000072082,Ccnf,cyclin F
633,ENSMUSG00000020326,Ccng1,cyclin G1
634,ENSMUSG00000029385,Ccng2,cyclin G2
635,ENSMUSG00000063015,Ccni,cyclin I
636,ENSMUSG00000021258,Ccnk,cyclin K
637,ENSMUSG00000011960,Ccnt1,cyclin T1
639,ENSMUSG00000023087,Noct,nocturnin
640,ENSMUSG00000040899,Ccr6,chemokine (C-C motif) receptor 6
641,ENSMUSG00000034108,Ccs,copper chaperone for superoxide dismutase
642,ENSMUSG00000034024,Cct2,"chaperonin containing Tcp1, subunit 2 (beta)"
643,ENSMUSG00000001416,Cct3,"chaperonin containing Tcp1, subunit 3 (gamma)"
644,ENSMUSG00000007739,Cct4,"chaperonin containing Tcp1, subunit 4 (delta)"
645,ENSMUSG00000022234,Cct5,"chaperonin containing Tcp1, subunit 5 (epsilon)"
646,ENSMUSG00000029447,Cct6a,"chaperonin containing Tcp1, subunit 6a (zeta)"
647,ENSMUSG00000020698,Cct6b,"chaperonin containing Tcp1, subunit 6b (zeta)"
648,ENSMUSG00000030007,Cct7,"chaperonin containing Tcp1, subunit 7 (eta)"
649,ENSMUSG00000025613,Cct8,"chaperonin containing Tcp1, subunit 8 (theta)"
650,ENSMUSG00000051439,Cd14,CD14 antigen
651,ENSMUSG00000025510,Cd151,CD151 antigen
652,ENSMUSG00000026011,Ctla4,cytotoxic T-lymphocyte-associated protein 4
653,ENSMUSG00000030724,Cd19,CD19 antigen
654,ENSMUSG00000028076,Cd1d1,CD1d1 antigen
655,ENSMUSG00000041750,Cd1d2,CD1d2 antigen
656,ENSMUSG00000027863,Cd2,CD2 antigen
657,ENSMUSG00000024673,Ms4a1,"membrane-spanning 4-domains, subfamily A, member 1"
658,ENSMUSG00000030577,Cd22,CD22 antigen
659,ENSMUSG00000047139,Cd24a,CD24a antigen
660,ENSMUSG00000026012,Cd28,CD28 antigen
661,ENSMUSG00000061665,Cd2ap,CD2-associated protein
662,ENSMUSG00000004609,Cd33,CD33 antigen
663,ENSMUSG00000016494,Cd34,CD34 antigen
664,ENSMUSG00000002944,Cd36,CD36 molecule
665,ENSMUSG00000029426,Scarb2,"scavenger receptor class B, member 2"
666,ENSMUSG00000030798,Cd37,CD37 antigen
667,ENSMUSG00000029084,Cd38,CD38 antigen
668,ENSMUSG00000048120,Entpd1,ectonucleoside triphosphate diphosphohydrolase 1
669,ENSMUSG00000015085,Entpd2,ectonucleoside triphosphate diphosphohydrolase 2
670,ENSMUSG00000033068,Entpd6,ectonucleoside triphosphate diphosphohydrolase 6
671,ENSMUSG00000021236,Entpd5,ectonucleoside triphosphate diphosphohydrolase 5
672,ENSMUSG00000032094,Cd3d,"CD3 antigen, delta polypeptide"
673,ENSMUSG00000032093,Cd3e,"CD3 antigen, epsilon polypeptide"
674,ENSMUSG00000002033,Cd3g,"CD3 antigen, gamma polypeptide"
675,ENSMUSG00000005763,Cd247,CD247 antigen
676,ENSMUSG00000023274,Cd4,CD4 antigen
677,ENSMUSG00000005087,Cd44,CD44 antigen
678,ENSMUSG00000015355,Cd48,CD48 antigen
679,ENSMUSG00000024669,Cd5,CD5 antigen
680,ENSMUSG00000040747,Cd53,CD53 antigen
681,ENSMUSG00000032679,Cd59a,CD59a antigen
682,ENSMUSG00000024670,Cd6,CD6 antigen
683,ENSMUSG00000025351,Cd63,CD63 antigen
684,ENSMUSG00000018774,Cd68,CD68 antigen
685,ENSMUSG00000030156,Cd69,CD69 antigen
686,ENSMUSG00000025163,Cd7,CD7 antigen
687,ENSMUSG00000028459,Cd72,CD72 antigen
688,ENSMUSG00000003379,Cd79a,CD79A antigen (immunoglobulin-associated alpha)
689,ENSMUSG00000075122,Cd80,CD80 antigen
690,ENSMUSG00000037706,Cd81,CD81 antigen
691,ENSMUSG00000027215,Cd82,CD82 antigen
692,ENSMUSG00000015396,Cd83,CD83 antigen
693,ENSMUSG00000038147,Cd84,CD84 antigen
694,ENSMUSG00000022901,Cd86,CD86 antigen
695,ENSMUSG00000053977,Cd8a,"CD8 antigen, alpha chain"
696,ENSMUSG00000053044,Cd8b1,"CD8 antigen, beta chain 1"
697,ENSMUSG00000030342,Cd9,CD9 antigen
698,ENSMUSG00000032477,Cdc25a,cell division cycle 25A
699,ENSMUSG00000027330,Cdc25b,cell division cycle 25B
700,ENSMUSG00000044201,Cdc25c,cell division cycle 25C
701,ENSMUSG00000019942,Cdk1,cyclin-dependent kinase 1
702,ENSMUSG00000029062,Cdk11b,cyclin-dependent kinase 11B
703,ENSMUSG00000019471,Cdc37,cell division cycle 37
704,ENSMUSG00000006699,Cdc42,cell division cycle 42
705,ENSMUSG00000000028,Cdc45,cell division cycle 45
706,ENSMUSG00000029283,Cdc7,cell division cycle 7 (S. cerevisiae)
707,ENSMUSG00000022799,Arhgap31,Rho GTPase activating protein 31
708,ENSMUSG00000000303,Cdh1,cadherin 1
709,ENSMUSG00000031673,Cdh11,cadherin 11
710,ENSMUSG00000031841,Cdh13,cadherin 13
711,ENSMUSG00000031962,Cdh15,cadherin 15
712,ENSMUSG00000031881,Cdh16,cadherin 16
713,ENSMUSG00000028217,Cdh17,cadherin 17
714,ENSMUSG00000024304,Cdh2,cadherin 2
715,ENSMUSG00000061048,Cdh3,cadherin 3
716,ENSMUSG00000000305,Cdh4,cadherin 4
717,ENSMUSG00000031871,Cdh5,cadherin 5
718,ENSMUSG00000039385,Cdh6,cadherin 6
719,ENSMUSG00000036510,Cdh8,cadherin 8
720,ENSMUSG00000025370,Cdh9,cadherin 9
721,ENSMUSG00000025358,Cdk2,cyclin-dependent kinase 2
722,ENSMUSG00000006728,Cdk4,cyclin-dependent kinase 4
723,ENSMUSG00000028969,Cdk5,cyclin-dependent kinase 5
724,ENSMUSG00000048895,Cdk5r1,"cyclin-dependent kinase 5, regulatory subunit 1 (p35)"
725,ENSMUSG00000090071,Cdk5r2,"cyclin-dependent kinase 5, regulatory subunit 2 (p39)"
726,ENSMUSG00000040274,Cdk6,cyclin-dependent kinase 6
727,ENSMUSG00000069089,Cdk7,cyclin-dependent kinase 7
728,ENSMUSG00000023067,Cdkn1a,cyclin-dependent kinase inhibitor 1A (P21)
729,ENSMUSG00000003031,Cdkn1b,cyclin-dependent kinase inhibitor 1B
730,ENSMUSG00000037664,Cdkn1c,cyclin-dependent kinase inhibitor 1C (P57)
731,ENSMUSG00000044303,Cdkn2a,cyclin dependent kinase inhibitor 2A
732,ENSMUSG00000073802,Cdkn2b,cyclin dependent kinase inhibitor 2B
733,ENSMUSG00000028551,Cdkn2c,cyclin dependent kinase inhibitor 2C
734,ENSMUSG00000096472,Cdkn2d,cyclin dependent kinase inhibitor 2D
736,ENSMUSG00000033022,Cdo1,"cysteine dioxygenase 1, cytosolic"
737,ENSMUSG00000030878,Cdr2,cerebellar degeneration-related 2
738,ENSMUSG00000089661,Mia,melanoma inhibitory activity
739,ENSMUSG00000029469,Ift81,intraflagellar transport 81
740,ENSMUSG00000024619,Cdx1,caudal type homeobox 1
741,ENSMUSG00000029646,Cdx2,caudal type homeobox 2
742,ENSMUSG00000031326,Cdx4,caudal type homeobox 4
743,ENSMUSG00000059288,Cdyl,"chromodomain protein, Y chromosome-like"
744,ENSMUSG00000034957,Cebpa,"CCAAT/enhancer binding protein (C/EBP), alpha"
745,ENSMUSG00000024081,Cebpz,CCAAT/enhancer binding protein zeta
746,ENSMUSG00000056501,Cebpb,"CCAAT/enhancer binding protein (C/EBP), beta"
747,ENSMUSG00000071637,Cebpd,"CCAAT/enhancer binding protein (C/EBP), delta"
748,ENSMUSG00000056216,Cebpg,"CCAAT/enhancer binding protein (C/EBP), gamma"
749,ENSMUSG00000026818,Cel,carboxyl ester lipase
750,ENSMUSG00000016028,Celsr1,"cadherin, EGF LAG seven-pass G-type receptor 1"
751,ENSMUSG00000029177,Cenpa,centromere protein A
752,ENSMUSG00000068267,Cenpb,centromere protein B
753,ENSMUSG00000029253,Cenpc1,centromere protein C1
754,ENSMUSG00000038192,Cer1,"cerberus 1, DAN family BMP antagonist"
755,ENSMUSG00000057074,Ces1g,carboxylesterase 1G
757,ENSMUSG00000021537,Cetn3,centrin 3
758,ENSMUSG00000026124,Cfc1,"cripto, FRL-1, cryptic family 1"
759,ENSMUSG00000026365,Cfh,complement component factor h
760,ENSMUSG00000058952,Cfi,complement component factor i
761,ENSMUSG00000056201,Cfl1,"cofilin 1, non-muscle"
762,ENSMUSG00000062929,Cfl2,"cofilin 2, muscle"
763,ENSMUSG00000026031,Cflar,CASP8 and FADD-like apoptosis regulator
764,ENSMUSG00000041301,Cftr,cystic fibrosis transmembrane conductance regulator
765,ENSMUSG00000028298,Cga,"glycoprotein hormones, alpha subunit"
766,ENSMUSG00000050370,Ch25h,cholesterol 25-hydroxylase
